Group1,SERIALA:DM00950,
2025/05/11 20:23:35.500,2294,
2025/05/11 20:23:36.500,2294,
2025/05/11 20:23:37.000,2294,
2025/05/11 20:23:37.500,2294,
2025/05/11 20:23:38.000,2294,
2025/05/11 20:23:38.500,2294,
2025/05/11 20:23:39.000,2367,
2025/05/11 20:23:39.500,3582,
2025/05/11 20:23:40.000,11064,
2025/05/11 20:23:40.500,11064,
2025/05/11 20:23:41.000,60425,
2025/05/11 20:23:41.500,69783,
2025/05/11 20:23:42.000,94079,
2025/05/11 20:23:42.500,111645,
2025/05/11 20:23:43.000,132494,
2025/05/11 20:23:43.500,142016,
2025/05/11 20:23:44.000,166477,
2025/05/11 20:23:44.500,174849,
2025/05/11 20:23:45.000,193893,
2025/05/11 20:23:45.500,202265,
2025/05/11 20:23:46.000,228748,
2025/05/11 20:23:47.000,235657,
2025/05/11 20:23:47.500,241624,
2025/05/11 20:23:48.000,241728,
2025/05/11 20:23:51.000,241733,
2025/05/11 20:23:51.500,241733,
2025/05/11 20:23:52.000,241733,
2025/05/11 20:23:52.500,241733,
2025/05/11 20:23:53.000,241733,
2025/05/11 20:23:53.500,241733,
2025/05/11 20:23:54.000,241733,
2025/05/11 20:23:54.500,241733,
2025/05/11 20:23:55.000,241803,
2025/05/11 20:23:55.500,242743,
2025/05/11 20:23:56.000,254677,
2025/05/11 20:23:56.500,270515,
2025/05/11 20:23:57.000,290830,
2025/05/11 20:23:57.500,299037,
2025/05/11 20:23:58.000,317891,
2025/05/11 20:23:58.500,318917,
2025/05/11 20:23:59.000,321678,
2025/05/11 20:23:59.500,321745,
2025/05/11 20:24:00.000,321759,
2025/05/11 20:24:00.500,321759,
2025/05/11 20:24:01.000,321759,
2025/05/11 20:24:01.500,321759,
2025/05/11 20:24:02.000,321759,
2025/05/11 20:24:02.500,321759,
2025/05/11 20:24:03.000,321759,
2025/05/11 20:24:03.500,321759,
2025/05/11 20:24:04.000,321759,
2025/05/11 20:24:04.500,321759,
2025/05/11 20:24:05.000,321759,
2025/05/11 20:24:05.500,321759,
2025/05/11 20:24:06.000,321759,
2025/05/11 20:24:06.500,321759,
2025/05/11 20:24:07.000,321759,
2025/05/11 20:24:07.500,321759,
2025/05/11 20:24:08.000,321759,
2025/05/11 20:24:08.500,321759,
2025/05/11 20:24:09.500,321759,
2025/05/11 20:24:10.000,321820,
2025/05/11 20:24:11.000,321761,
2025/05/11 20:24:11.500,321761,
2025/05/11 20:24:12.000,283647,
2025/05/11 20:24:12.500,269070,
2025/05/11 20:24:13.000,250916,
2025/05/11 20:24:13.500,243626,
2025/05/11 20:24:14.000,221757,
2025/05/11 20:24:14.500,207320,
2025/05/11 20:24:15.000,189738,
2025/05/11 20:24:15.500,178732,
2025/05/11 20:24:16.000,160864,
2025/05/11 20:24:16.500,154146,
2025/05/11 20:24:17.000,132276,
2025/05/11 20:24:17.500,127845,
2025/05/11 20:24:18.000,96970,
2025/05/11 20:24:18.500,90508,
2025/05/11 20:24:19.000,82304,
2025/05/11 20:24:19.500,82012,
2025/05/11 20:24:20.000,81931,
2025/05/11 20:24:20.500,81930,
2025/05/11 20:24:21.000,81930,
2025/05/11 20:24:21.500,81930,
2025/05/11 20:24:22.000,81930,
2025/05/11 20:24:22.500,81930,
2025/05/11 20:24:23.000,81930,
2025/05/11 20:24:23.500,81930,
2025/05/11 20:24:24.000,81930,
2025/05/11 20:24:24.500,81930,
2025/05/11 20:24:25.000,81930,
2025/05/11 20:24:25.500,81930,
2025/05/11 20:24:26.000,81930,
2025/05/11 20:24:26.500,81930,
2025/05/11 20:24:27.000,81930,
2025/05/11 20:24:27.500,81930,
2025/05/11 20:24:28.000,81930,
2025/05/11 20:24:28.500,101001,
2025/05/11 20:24:30.000,101001,
2025/05/11 20:24:30.500,101001,
2025/05/11 20:24:31.000,160861,
2025/05/11 20:24:32.000,160861,
2025/05/11 20:24:32.500,167955,
2025/05/11 20:24:33.000,186269,
2025/05/11 20:24:33.500,194391,
2025/05/11 20:24:34.000,220469,
2025/05/11 20:24:34.500,237214,
2025/05/11 20:24:35.000,257571,
2025/05/11 20:24:35.500,270212,
2025/05/11 20:24:36.000,291061,
2025/05/11 20:24:36.500,299269,
2025/05/11 20:24:37.000,314630,
2025/05/11 20:24:37.500,319985,
2025/05/11 20:24:38.000,321383,
2025/05/11 20:24:38.500,321719,
2025/05/11 20:24:39.000,321739,
2025/05/11 20:24:39.500,321739,
2025/05/11 20:24:40.000,321739,
2025/05/11 20:24:40.500,321739,
2025/05/11 20:24:41.000,321739,
